,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Stylist,$19.25 /hr (est.),Stylist,3.1,Stitch Fix,"San Francisco, CA","San Francisco, CA",10000+ Employees,2011,Company - Public,Other Retail Stores,Retail & Wholesale,$2 to $5 billion (USD),-1
1,"Data Scientist, Product Analytics","$135,403 /yr (est.)","Data Scientist, Product Analytics",4.7,Atlassian,"San Francisco, CA","San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
2,"Manager of Data Science, Analytics","$148,346 /yr (est.)","Manager of Data Science, Analytics",4.3,Sojern,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2007,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),-1
3,"Data Analyst, Corporate Strategy, Planning & Analysis","$138,121 /yr (est.)","Data Analyst, Corporate Strategy, Planning & Analysis",4.2,Netflix,"Los Gatos, CA","Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1
4,Data Analyst,"$105,692 /yr (est.)",Data Analyst,3.3,Wish,"San Francisco, CA","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$1 to $2 billion (USD),-1
5,Data Scientist,"$119,142 /yr (est.)",Data Scientist,4.0,Visa,"Foster City, CA","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
6,Data Science Consultant,"$105,150 /yr (est.)",Data Science Consultant,4.1,Accenture,"San Francisco, CA","San Francisco, CA",10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),-1
7,Soil Science Research Associate,"$63,325 /yr (est.)",Soil Science Research Associate,4.5,Pattern Ag,"San Francisco, CA","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1
8,Director Data Science,"$171,602 /yr (est.)",Director Data Science,4.0,Stanford Health Care,"Palo Alto, CA","Palo Alto, CA",10000+ Employees,1957,Hospital,Health Care Services & Hospitals,Healthcare,$2 to $5 billion (USD),-1
9,Data Scientist,"$95,000 /yr (est.)",Data Scientist,3.8,Logic20/20 Inc.,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2005,Company - Private,Business Consulting,Management & Consulting,$25 to $50 million (USD),-1
10,Data Scientist - Trust & Safety,"$138,085 /yr (est.)",Data Scientist - Trust & Safety,3.3,Wish,"San Francisco, CA","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$1 to $2 billion (USD),-1
11,Jr. Data Scientist,"$130,991 /yr (est.)",Jr. Data Scientist,5.0,Aroopa,"San Francisco, CA","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1
12,UX Writer (Contractor),"$108,616 /yr (est.)",UX Writer (Contractor),3.3,Wish,"San Francisco, CA","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$1 to $2 billion (USD),-1
13,Data Collection Operator,-1,Data Collection Operator,4.2,Apple,"Cupertino, CA","Cupertino, CA",-1,-1,-1,-1,-1,-1,-1
14,"Vice President, Data Science and Engineering",-1,"Vice President, Data Science and Engineering",4.5,Google,"Mountain View, CA","Mountain View, CA",-1,-1,-1,-1,-1,-1,-1
