,Unnamed: 0,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,yearly,Salary,age,state
117,117,Data Scientist - (Remote),"$112,500 /yr (est.)",Data Scientist - (Remote),4.3,Genentech,"Indianapolis, IN","Indianapolis, IN",10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),-1,0,1,"112,500 ",46, IN
119,119,"Data Scientist, Data Science & Modeling","$134,452 /yr (est.)","Data Scientist, Data Science & Modeling",3.1,CardWorks,"South Jordan, UT","South Jordan, UT",501 to 1000 Employees,1987,Company - Private,Banking & Lending,Financial Services,$50 to $100 million (USD),-1,0,1,"134,452 ",35, UT
120,120,Data Scientist or Statistician,"$93,500 /yr (est.)",Data Scientist or Statistician,3.9,UT Southwestern Medical Center,Remote,Remote,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$2 to $5 billion (USD),-1,0,1,"93,500 ",79,Remote
121,121,Junior Data Scientist,"$57,500 /yr (est.)",Junior Data Scientist,4.3,Augray,"Brookfield, WI","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"57,500 ",8, WI
122,122,Junior Data Scientist,"$80,000 /yr (est.)",Junior Data Scientist,3.7,Acima,"Draper, UT","Draper, UT",501 to 1000 Employees,2013,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1,0,1,"80,000 ",9, UT
123,123,Junior Data Scientist,"$100,000 /yr (est.)",Junior Data Scientist,-1.0,Talentheed Inc,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1,Remote
124,124,Data Scientist (Junior),"$100,000 /yr (est.)",Data Scientist (Junior),1.4,BDSA,"Louisville, CO","Louisville, CO",-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1, CO
125,125,"Data Scientist, Personalization","$112,574 /yr (est.)","Data Scientist, Personalization",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"112,574 ",16, NY
126,126,Associate Data Scientist,"$108,513 /yr (est.)",Associate Data Scientist,3.8,T. Rowe Price,"New York, NY","New York, NY",5001 to 10000 Employees,1937,Company - Public,Investment & Asset Management,Financial Services,$2 to $5 billion (USD),-1,0,1,"108,513 ",85, NY
127,127,Jr. Data Scientist,"$72,500 /yr (est.)",Jr. Data Scientist,-1.0,Net2Aspire,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"72,500 ",-1,Remote
128,128,"Senior or Staff Data Scientist, Spotify Advertising","$144,096 /yr (est.)","Senior or Staff Data Scientist, Spotify Advertising",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"144,096 ",16, NY
129,129,(Junior / Senior) Data Scientist - Sports Analytics,"$112,500 /yr (est.)",(Junior / Senior) Data Scientist - Sports Analytics,-1.0,Zelus Analytics,"Austin, TX","Austin, TX",-1,-1,-1,-1,-1,-1,-1,0,1,"112,500 ",-1, TX
130,130,Data Science & Analytics,"$97,146 /yr (est.)",Data Science & Analytics,5.0,Digital Trike,"South Jordan, UT","South Jordan, UT",-1,-1,-1,-1,-1,-1,-1,0,1,"97,146 ",-1, UT
131,131,Marketing Data Scientist,"$120,000 /yr (est.)",Marketing Data Scientist,4.4,Indeed,"Austin, TX","Austin, TX",10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$2 to $5 billion (USD),-1,0,1,"120,000 ",18, TX
132,132,Data Scientist (Remote),"$154,000 /yr (est.)",Data Scientist (Remote),3.5,Yelp,Remote,Remote,5001 to 10000 Employees,2004,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),-1,0,1,"154,000 ",18,Remote
133,133,Data Scientist,"$115,000 /yr (est.)",Data Scientist,-1.0,"3G Federal Solutions, LLC",Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"115,000 ",-1,Remote
134,134,Data Scientist,"$124,750 /yr (est.)",Data Scientist,3.9,Liberty Mutual Insurance,Remote,Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,1,"124,750 ",110,Remote
135,135,Web3 Wallet Data Scientist,$70.00 /hr (est.),Web3 Wallet Data Scientist,4.2,Layer3,Remote,Remote,51 to 200 Employees,2005,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable,-1,1,0,70.00 ,17,Remote
137,137,Junior Data Scientist,"$80,000 /yr (est.)",Junior Data Scientist,3.2,RAC Brands,"Draper, UT","Draper, UT",10000+ Employees,1986,Company - Public,Consumer Electronics & Appliances Stores,Retail & Wholesale,$2 to $5 billion (USD),-1,0,1,"80,000 ",36, UT
139,139,Data Scientist (Entry Level),"$79,054 /yr (est.)",Data Scientist (Entry Level),4.4,Revenue Analytics,"Atlanta, GA","Atlanta, GA",51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,0,1,"79,054 ",17, GA
140,140,Data Scientist - (Remote),"$112,500 /yr (est.)",Data Scientist - (Remote),4.3,Genentech,"Indianapolis, IN","Indianapolis, IN",10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),-1,0,1,"112,500 ",46, IN
141,141,Associate Data Scientist,"$110,000 /yr (est.)",Associate Data Scientist,3.8,Home Depot / THD,"Atlanta, GA","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),-1,0,1,"110,000 ",44, GA
142,142,Data Scientist II - 100% Remote,"$123,648 /yr (est.)",Data Scientist II - 100% Remote,4.2,Radian,Maryland,Maryland,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,0,1,"123,648 ",45,Maryland
144,144,Data Scientist,$87.50 /hr (est.),Data Scientist,5.0,Tricon IT Solutions (For End Clients),"Orlando, FL","Orlando, FL",-1,-1,-1,-1,-1,-1,-1,1,0,87.50 ,-1, FL
146,146,Data Scientist,"$119,232 /yr (est.)",Data Scientist,4.1,Nike,"New York, NY","New York, NY",10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),-1,0,1,"119,232 ",50, NY
147,147,Data Scientist,$75.00 /hr (est.),Data Scientist,-1.0,Mint-Technologies,"Richmond, VA","Richmond, VA",-1,-1,-1,-1,-1,-1,-1,1,0,75.00 ,-1, VA
148,148,Jr. Data Scientist,"$90,880 /yr (est.)",Jr. Data Scientist,4.0,Deloitte,"Austin, TX","Austin, TX",10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),-1,0,1,"90,880 ",172, TX
149,149,Data Scientist,"$122,500 /yr (est.)",Data Scientist,-1.0,Dataworks,Remote,Remote,1 to 50 Employees,2021,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),-1,0,1,"122,500 ",1,Remote
150,150,Junior Data Scientist,"$80,000 /yr (est.)",Junior Data Scientist,3.7,Acima,"Draper, UT","Draper, UT",501 to 1000 Employees,2013,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1,0,1,"80,000 ",9, UT
151,151,Data Scientist or Statistician,"$93,500 /yr (est.)",Data Scientist or Statistician,3.9,UT Southwestern Medical Center,Remote,Remote,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$2 to $5 billion (USD),-1,0,1,"93,500 ",79,Remote
152,152,Junior Data Scientist,"$57,500 /yr (est.)",Junior Data Scientist,4.3,Augray,"Brookfield, WI","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"57,500 ",8, WI
153,153,Data Scientist (Junior),"$100,000 /yr (est.)",Data Scientist (Junior),1.4,BDSA,"Louisville, CO","Louisville, CO",-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1, CO
154,154,"Data Scientist, Personalization","$112,574 /yr (est.)","Data Scientist, Personalization",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"112,574 ",16, NY
155,155,Associate Data Scientist,"$108,513 /yr (est.)",Associate Data Scientist,3.8,T. Rowe Price,"New York, NY","New York, NY",5001 to 10000 Employees,1937,Company - Public,Investment & Asset Management,Financial Services,$2 to $5 billion (USD),-1,0,1,"108,513 ",85, NY
156,156,Junior Data Scientist,"$100,000 /yr (est.)",Junior Data Scientist,-1.0,Talentheed Inc,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1,Remote
157,157,"Senior or Staff Data Scientist, Spotify Advertising","$144,096 /yr (est.)","Senior or Staff Data Scientist, Spotify Advertising",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"144,096 ",16, NY
158,158,(Junior / Senior) Data Scientist - Sports Analytics,"$112,500 /yr (est.)",(Junior / Senior) Data Scientist - Sports Analytics,-1.0,Zelus Analytics,"Austin, TX","Austin, TX",-1,-1,-1,-1,-1,-1,-1,0,1,"112,500 ",-1, TX
159,159,Junior Data Scientist,"$80,000 /yr (est.)",Junior Data Scientist,3.2,RAC Brands,"Draper, UT","Draper, UT",10000+ Employees,1986,Company - Public,Consumer Electronics & Appliances Stores,Retail & Wholesale,$2 to $5 billion (USD),-1,0,1,"80,000 ",36, UT
160,160,Marketing Data Scientist,"$120,000 /yr (est.)",Marketing Data Scientist,4.4,Indeed,"Austin, TX","Austin, TX",10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$2 to $5 billion (USD),-1,0,1,"120,000 ",18, TX
161,161,Jr. Data Scientist,"$72,500 /yr (est.)",Jr. Data Scientist,-1.0,Net2Aspire,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"72,500 ",-1,Remote
162,162,Data Scientist,"$115,000 /yr (est.)",Data Scientist,-1.0,"3G Federal Solutions, LLC",Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"115,000 ",-1,Remote
163,163,Data Science & Analytics,"$97,146 /yr (est.)",Data Science & Analytics,5.0,Digital Trike,"South Jordan, UT","South Jordan, UT",-1,-1,-1,-1,-1,-1,-1,0,1,"97,146 ",-1, UT
164,164,Data Scientist (Entry Level),"$79,054 /yr (est.)",Data Scientist (Entry Level),4.4,Revenue Analytics,"Atlanta, GA","Atlanta, GA",51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,0,1,"79,054 ",17, GA
166,166,Jr. Data Scientist,"$90,880 /yr (est.)",Jr. Data Scientist,4.0,Deloitte,"Austin, TX","Austin, TX",10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),-1,0,1,"90,880 ",172, TX
167,167,Data Scientist (Remote),"$154,000 /yr (est.)",Data Scientist (Remote),3.5,Yelp,Remote,Remote,5001 to 10000 Employees,2004,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),-1,0,1,"154,000 ",18,Remote
168,168,Data Scientist,$77.50 /hr (est.),Data Scientist,4.6,Kani Solutions,Remote,Remote,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 million (USD),-1,1,0,77.50 ,13,Remote
170,170,Data Scientist,"$124,750 /yr (est.)",Data Scientist,3.9,Liberty Mutual Insurance,Remote,Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,1,"124,750 ",110,Remote
171,171,Data Scientist,$85.00 /hr (est.),Data Scientist,4.3,Infologitech,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,1,0,85.00 ,-1,Remote
172,172,Data Scientist - (Remote),"$112,500 /yr (est.)",Data Scientist - (Remote),4.3,Genentech,"Indianapolis, IN","Indianapolis, IN",10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),-1,0,1,"112,500 ",46, IN
173,173,Web3 Wallet Data Scientist,$70.00 /hr (est.),Web3 Wallet Data Scientist,4.2,Layer3,Remote,Remote,51 to 200 Employees,2005,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable,-1,1,0,70.00 ,17,Remote
174,174,Data Scientist (REMOTE),"$101,276 /yr (est.)",Data Scientist (REMOTE),3.6,Foot Locker,"New York, NY","New York, NY",10000+ Employees,1974,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$5 to $10 billion (USD),-1,0,1,"101,276 ",48, NY
175,175,Associate Data Scientist,"$110,000 /yr (est.)",Associate Data Scientist,3.8,Home Depot / THD,"Atlanta, GA","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),-1,0,1,"110,000 ",44, GA
176,176,Data Scientist,"$119,232 /yr (est.)",Data Scientist,4.1,Nike,"New York, NY","New York, NY",10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),-1,0,1,"119,232 ",50, NY
177,177,Data Scientist II - 100% Remote,"$123,648 /yr (est.)",Data Scientist II - 100% Remote,4.2,Radian,Maryland,Maryland,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,0,1,"123,648 ",45,Maryland
178,178,Data Scientist,$87.50 /hr (est.),Data Scientist,5.0,Tricon IT Solutions (For End Clients),"Orlando, FL","Orlando, FL",-1,-1,-1,-1,-1,-1,-1,1,0,87.50 ,-1, FL
180,180,Data Scientist or Statistician,"$93,500 /yr (est.)",Data Scientist or Statistician,3.9,UT Southwestern Medical Center,Remote,Remote,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$2 to $5 billion (USD),-1,0,1,"93,500 ",79,Remote
181,181,Data Scientist (Junior),"$100,000 /yr (est.)",Data Scientist (Junior),1.4,BDSA,"Louisville, CO","Louisville, CO",-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1, CO
182,182,Junior Data Scientist,"$57,500 /yr (est.)",Junior Data Scientist,4.3,Augray,"Brookfield, WI","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"57,500 ",8, WI
183,183,Junior Data Scientist,"$80,000 /yr (est.)",Junior Data Scientist,3.7,Acima,"Draper, UT","Draper, UT",501 to 1000 Employees,2013,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1,0,1,"80,000 ",9, UT
184,184,Junior Data Scientist,"$100,000 /yr (est.)",Junior Data Scientist,-1.0,Talentheed Inc,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1,Remote
185,185,"Data Scientist, Personalization","$112,574 /yr (est.)","Data Scientist, Personalization",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"112,574 ",16, NY
186,186,"Senior or Staff Data Scientist, Spotify Advertising","$144,096 /yr (est.)","Senior or Staff Data Scientist, Spotify Advertising",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"144,096 ",16, NY
187,187,(Junior / Senior) Data Scientist - Sports Analytics,"$112,500 /yr (est.)",(Junior / Senior) Data Scientist - Sports Analytics,-1.0,Zelus Analytics,"Austin, TX","Austin, TX",-1,-1,-1,-1,-1,-1,-1,0,1,"112,500 ",-1, TX
188,188,Jr. Data Scientist,"$72,500 /yr (est.)",Jr. Data Scientist,-1.0,Net2Aspire,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"72,500 ",-1,Remote
189,189,Associate Data Scientist,"$108,513 /yr (est.)",Associate Data Scientist,3.8,T. Rowe Price,"New York, NY","New York, NY",5001 to 10000 Employees,1937,Company - Public,Investment & Asset Management,Financial Services,$2 to $5 billion (USD),-1,0,1,"108,513 ",85, NY
190,190,Data Science & Analytics,"$97,146 /yr (est.)",Data Science & Analytics,5.0,Digital Trike,"South Jordan, UT","South Jordan, UT",-1,-1,-1,-1,-1,-1,-1,0,1,"97,146 ",-1, UT
191,191,Data Scientist (Remote),"$154,000 /yr (est.)",Data Scientist (Remote),3.5,Yelp,Remote,Remote,5001 to 10000 Employees,2004,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),-1,0,1,"154,000 ",18,Remote
192,192,Data Scientist (Entry Level),"$79,054 /yr (est.)",Data Scientist (Entry Level),4.4,Revenue Analytics,"Atlanta, GA","Atlanta, GA",51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,0,1,"79,054 ",17, GA
194,194,Data Scientist,"$124,750 /yr (est.)",Data Scientist,3.9,Liberty Mutual Insurance,Remote,Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,1,"124,750 ",110,Remote
195,195,Data Scientist II - 100% Remote,"$123,648 /yr (est.)",Data Scientist II - 100% Remote,4.2,Radian,Maryland,Maryland,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,0,1,"123,648 ",45,Maryland
196,196,Data Scientist,"$119,232 /yr (est.)",Data Scientist,4.1,Nike,"New York, NY","New York, NY",10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),-1,0,1,"119,232 ",50, NY
197,197,Web3 Wallet Data Scientist,$70.00 /hr (est.),Web3 Wallet Data Scientist,4.2,Layer3,Remote,Remote,51 to 200 Employees,2005,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable,-1,1,0,70.00 ,17,Remote
198,198,Data Scientist,"$115,000 /yr (est.)",Data Scientist,-1.0,"3G Federal Solutions, LLC",Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"115,000 ",-1,Remote
199,199,Data Scientist - (Remote),"$112,500 /yr (est.)",Data Scientist - (Remote),4.3,Genentech,"Indianapolis, IN","Indianapolis, IN",10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),-1,0,1,"112,500 ",46, IN
200,200,Junior Data Scientist,"$80,000 /yr (est.)",Junior Data Scientist,3.2,RAC Brands,"Draper, UT","Draper, UT",10000+ Employees,1986,Company - Public,Consumer Electronics & Appliances Stores,Retail & Wholesale,$2 to $5 billion (USD),-1,0,1,"80,000 ",36, UT
202,202,Jr. Data Scientist,"$90,880 /yr (est.)",Jr. Data Scientist,4.0,Deloitte,"Austin, TX","Austin, TX",10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),-1,0,1,"90,880 ",172, TX
203,203,Associate Data Scientist,"$110,000 /yr (est.)",Associate Data Scientist,3.8,Home Depot / THD,"Atlanta, GA","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),-1,0,1,"110,000 ",44, GA
204,204,Marketing Data Scientist,"$120,000 /yr (est.)",Marketing Data Scientist,4.4,Indeed,"Austin, TX","Austin, TX",10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$2 to $5 billion (USD),-1,0,1,"120,000 ",18, TX
205,205,Data Scientist,$75.00 /hr (est.),Data Scientist,-1.0,Mint-Technologies,"Richmond, VA","Richmond, VA",-1,-1,-1,-1,-1,-1,-1,1,0,75.00 ,-1, VA
206,206,Data Scientist,"$95,127 /yr (est.)",Data Scientist,3.9,Toyota,"Plano, TX","Plano, TX",10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1,0,1,"95,127 ",65, TX
208,208,Data Scientist,"$99,885 /yr (est.)",Data Scientist,2.2,Source Enterprises,"New York, NY","New York, NY",-1,-1,-1,-1,-1,-1,-1,0,1,"99,885 ",-1, NY
209,209,Data Science Associate (Remote),"$59,834 /yr (est.)",Data Science Associate (Remote),5.0,pulseData,"New York, NY","New York, NY",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,0,1,"59,834 ",7, NY
210,210,Data Scientist or Statistician,"$93,500 /yr (est.)",Data Scientist or Statistician,3.9,UT Southwestern Medical Center,Remote,Remote,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$2 to $5 billion (USD),-1,0,1,"93,500 ",79,Remote
211,211,Junior Data Scientist,"$57,500 /yr (est.)",Junior Data Scientist,4.3,Augray,"Brookfield, WI","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"57,500 ",8, WI
212,212,Data Scientist (Junior),"$100,000 /yr (est.)",Data Scientist (Junior),1.4,BDSA,"Louisville, CO","Louisville, CO",-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1, CO
213,213,Junior Data Scientist,"$80,000 /yr (est.)",Junior Data Scientist,3.7,Acima,"Draper, UT","Draper, UT",501 to 1000 Employees,2013,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1,0,1,"80,000 ",9, UT
214,214,"Data Scientist, Personalization","$112,574 /yr (est.)","Data Scientist, Personalization",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"112,574 ",16, NY
215,215,Junior Data Scientist,"$100,000 /yr (est.)",Junior Data Scientist,-1.0,Talentheed Inc,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1,Remote
216,216,"Senior or Staff Data Scientist, Spotify Advertising","$144,096 /yr (est.)","Senior or Staff Data Scientist, Spotify Advertising",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"144,096 ",16, NY
217,217,(Junior / Senior) Data Scientist - Sports Analytics,"$112,500 /yr (est.)",(Junior / Senior) Data Scientist - Sports Analytics,-1.0,Zelus Analytics,"Austin, TX","Austin, TX",-1,-1,-1,-1,-1,-1,-1,0,1,"112,500 ",-1, TX
218,218,Jr. Data Scientist,"$72,500 /yr (est.)",Jr. Data Scientist,-1.0,Net2Aspire,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"72,500 ",-1,Remote
219,219,Data Science & Analytics,"$97,146 /yr (est.)",Data Science & Analytics,5.0,Digital Trike,"South Jordan, UT","South Jordan, UT",-1,-1,-1,-1,-1,-1,-1,0,1,"97,146 ",-1, UT
220,220,Data Scientist (Remote),"$154,000 /yr (est.)",Data Scientist (Remote),3.5,Yelp,Remote,Remote,5001 to 10000 Employees,2004,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),-1,0,1,"154,000 ",18,Remote
221,221,Data Scientist (Entry Level),"$79,054 /yr (est.)",Data Scientist (Entry Level),4.4,Revenue Analytics,"Atlanta, GA","Atlanta, GA",51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,0,1,"79,054 ",17, GA
222,222,Associate Data Scientist,"$108,513 /yr (est.)",Associate Data Scientist,3.8,T. Rowe Price,"New York, NY","New York, NY",5001 to 10000 Employees,1937,Company - Public,Investment & Asset Management,Financial Services,$2 to $5 billion (USD),-1,0,1,"108,513 ",85, NY
223,223,Data Scientist,"$124,750 /yr (est.)",Data Scientist,3.9,Liberty Mutual Insurance,Remote,Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,1,"124,750 ",110,Remote
224,224,Junior Data Scientist,"$80,000 /yr (est.)",Junior Data Scientist,3.2,RAC Brands,"Draper, UT","Draper, UT",10000+ Employees,1986,Company - Public,Consumer Electronics & Appliances Stores,Retail & Wholesale,$2 to $5 billion (USD),-1,0,1,"80,000 ",36, UT
225,225,Data Scientist - (Remote),"$112,500 /yr (est.)",Data Scientist - (Remote),4.3,Genentech,"Indianapolis, IN","Indianapolis, IN",10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),-1,0,1,"112,500 ",46, IN
226,226,Data Scientist II - 100% Remote,"$123,648 /yr (est.)",Data Scientist II - 100% Remote,4.2,Radian,Maryland,Maryland,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,0,1,"123,648 ",45,Maryland
227,227,Data Science Associate (Remote),"$59,834 /yr (est.)",Data Science Associate (Remote),5.0,pulseData,"New York, NY","New York, NY",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,0,1,"59,834 ",7, NY
230,230,Jr. Data Scientist,"$90,880 /yr (est.)",Jr. Data Scientist,4.0,Deloitte,"Austin, TX","Austin, TX",10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),-1,0,1,"90,880 ",172, TX
231,231,Data Scientist,"$99,885 /yr (est.)",Data Scientist,2.2,Source Enterprises,"New York, NY","New York, NY",-1,-1,-1,-1,-1,-1,-1,0,1,"99,885 ",-1, NY
232,232,Web3 Wallet Data Scientist,$70.00 /hr (est.),Web3 Wallet Data Scientist,4.2,Layer3,Remote,Remote,51 to 200 Employees,2005,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable,-1,1,0,70.00 ,17,Remote
233,233,Data Scientist,"$119,232 /yr (est.)",Data Scientist,4.1,Nike,"New York, NY","New York, NY",10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),-1,0,1,"119,232 ",50, NY
234,234,Marketing Data Scientist,"$120,000 /yr (est.)",Marketing Data Scientist,4.4,Indeed,"Austin, TX","Austin, TX",10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$2 to $5 billion (USD),-1,0,1,"120,000 ",18, TX
235,235,Associate Data Scientist,"$110,000 /yr (est.)",Associate Data Scientist,3.8,Home Depot / THD,"Atlanta, GA","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),-1,0,1,"110,000 ",44, GA
236,236,Data Scientist,"$115,000 /yr (est.)",Data Scientist,-1.0,"3G Federal Solutions, LLC",Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"115,000 ",-1,Remote
238,238,Data Scientist,"$95,127 /yr (est.)",Data Scientist,3.9,Toyota,"Plano, TX","Plano, TX",10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1,0,1,"95,127 ",65, TX
239,239,Data Scientist,$75.00 /hr (est.),Data Scientist,-1.0,Mint-Technologies,"Richmond, VA","Richmond, VA",-1,-1,-1,-1,-1,-1,-1,1,0,75.00 ,-1, VA
240,240,Data Scientist or Statistician,"$93,500 /yr (est.)",Data Scientist or Statistician,3.9,UT Southwestern Medical Center,Remote,Remote,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$2 to $5 billion (USD),-1,0,1,"93,500 ",79,Remote
