,Unnamed: 0,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,yearly,Salary,age,state
61,61,"Data Scientist, Personalization","$112,574 /yr (est.)","Data Scientist, Personalization",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"112,574 ",16, NY
62,62,Junior Data Scientist,"$57,500 /yr (est.)",Junior Data Scientist,4.3,Augray,"Brookfield, WI","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"57,500 ",8, WI
63,63,Junior Data Scientist,"$100,000 /yr (est.)",Junior Data Scientist,-1.0,Talentheed Inc,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1,Remote
64,64,(Junior / Senior) Data Scientist - Sports Analytics,"$112,500 /yr (est.)",(Junior / Senior) Data Scientist - Sports Analytics,-1.0,Zelus Analytics,"Austin, TX","Austin, TX",-1,-1,-1,-1,-1,-1,-1,0,1,"112,500 ",-1, TX
65,65,Data Scientist (Junior),"$100,000 /yr (est.)",Data Scientist (Junior),1.4,BDSA,"Louisville, CO","Louisville, CO",-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1, CO
66,66,Junior Data Scientist,"$80,000 /yr (est.)",Junior Data Scientist,3.7,Acima,"Draper, UT","Draper, UT",501 to 1000 Employees,2013,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1,0,1,"80,000 ",9, UT
67,67,Associate Data Scientist,"$108,513 /yr (est.)",Associate Data Scientist,3.8,T. Rowe Price,"New York, NY","New York, NY",5001 to 10000 Employees,1937,Company - Public,Investment & Asset Management,Financial Services,$2 to $5 billion (USD),-1,0,1,"108,513 ",85, NY
68,68,Data Scientist,"$124,750 /yr (est.)",Data Scientist,3.9,Liberty Mutual Insurance,Remote,Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,1,"124,750 ",110,Remote
69,69,Data Scientist (Remote),"$154,000 /yr (est.)",Data Scientist (Remote),3.5,Yelp,Remote,Remote,5001 to 10000 Employees,2004,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),-1,0,1,"154,000 ",18,Remote
70,70,Jr. Data Scientist,"$72,500 /yr (est.)",Jr. Data Scientist,-1.0,Net2Aspire,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"72,500 ",-1,Remote
71,71,Web3 Wallet Data Scientist,$70.00 /hr (est.),Web3 Wallet Data Scientist,4.2,Layer3,Remote,Remote,51 to 200 Employees,2005,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable,-1,1,0,70.00 ,17,Remote
72,72,"Senior or Staff Data Scientist, Spotify Advertising","$144,096 /yr (est.)","Senior or Staff Data Scientist, Spotify Advertising",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"144,096 ",16, NY
73,73,Data Scientist,"$115,000 /yr (est.)",Data Scientist,-1.0,"3G Federal Solutions, LLC",Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"115,000 ",-1,Remote
74,74,Data Science & Analytics,"$97,146 /yr (est.)",Data Science & Analytics,5.0,Digital Trike,"South Jordan, UT","South Jordan, UT",-1,-1,-1,-1,-1,-1,-1,0,1,"97,146 ",-1, UT
76,76,Associate Data Scientist,"$110,000 /yr (est.)",Associate Data Scientist,3.8,Home Depot / THD,"Atlanta, GA","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),-1,0,1,"110,000 ",44, GA
78,78,Data Scientist,"$119,232 /yr (est.)",Data Scientist,4.1,Nike,"New York, NY","New York, NY",10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),-1,0,1,"119,232 ",50, NY
79,79,Data Science Associate (Remote),"$59,834 /yr (est.)",Data Science Associate (Remote),5.0,pulseData,"New York, NY","New York, NY",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,0,1,"59,834 ",7, NY
80,80,Data Scientist,"$117,128 /yr (est.)",Data Scientist,3.4,Activision,"Santa Monica, CA","Santa Monica, CA",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),-1,0,1,"117,128 ",43, CA
81,81,Data Scientist,"$117,500 /yr (est.)",Data Scientist,4.0,Sia Partners,"New York, NY","New York, NY",1001 to 5000 Employees,1999,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),-1,0,1,"117,500 ",23, NY
